STATION,DATE,MAX
72530094846,2013-08-09,82.0
72530094846,2013-08-10,82.0
72530094846,2013-08-11,81.0
72530094846,2013-08-12,82.0
72530094846,2013-08-13,82.0
72530094846,2013-08-14,72.0
72530094846,2013-08-15,75.0
72530094846,2013-08-16,82.0
72530094846,2013-08-17,82.0
72530094846,2013-08-18,81.0
72530094846,2013-08-19,84.9
72530094846,2013-08-20,88.0
72530094846,2013-08-21,90.0
72530094846,2013-08-22,90.0
72530094846,2013-08-23,82.0
72530094846,2013-08-24,86.0
72530094846,2013-08-25,89.1
72530094846,2013-08-26,91.9
72530094846,2013-08-27,96.1
72530094846,2013-08-28,96.1
72530094846,2013-08-29,89.1
72530094846,2013-08-30,96.1
72530094846,2013-08-31,77.0
72530094846,2013-09-01,84.9
72530094846,2013-09-02,84.9
72530094846,2013-09-03,79.0
72530094846,2013-09-04,84.0
72530094846,2013-09-05,84.0
72530094846,2013-09-06,86.0
72530094846,2013-09-07,88.0
72530094846,2013-09-08,88.0
72530094846,2013-09-09,93.9
72530094846,2013-09-10,95.0
72530094846,2013-09-11,95.0
72530094846,2013-09-12,91.0
72530094846,2013-09-13,82.0
72530094846,2013-09-14,72.0
72530094846,2013-09-15,72.0
72530094846,2013-09-16,64.0
72530094846,2013-09-17,71.1
72530094846,2013-09-18,81.0
72530094846,2013-09-19,84.0
72530094846,2013-09-20,84.0
72530094846,2013-09-21,75.9
72530094846,2013-09-22,66.9
72530094846,2013-09-23,66.9
72530094846,2013-09-24,70.0
72530094846,2013-09-25,70.0
72530094846,2013-09-26,75.0
72530094846,2013-09-27,81.0
72530094846,2013-09-28,84.0
72530094846,2013-09-29,84.0
72530094846,2013-09-30,73.9
72530094846,2013-10-01,79.0
72530094846,2013-10-02,79.0
72530094846,2013-10-03,78.1
72530094846,2013-10-04,78.1
72530094846,2013-10-05,80.6
72530094846,2013-10-06,80.1
72530094846,2013-10-07,68.0
72530094846,2013-10-08,75.0
72530094846,2013-10-09,75.0
72530094846,2013-10-10,73.9
72530094846,2013-10-11,75.9
72530094846,2013-10-12,75.9
72530094846,2013-10-13,73.0
